latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
-34.59854732,-58.38270899,388.1477,0.7993,"POLYGON((-58.3825375132308 -34.5985976660142, -58.3825435346691 -34.5984846972712, -58.3828804686853 -34.5984969769415, -58.3828744477036 -34.5986099456898, -58.3825375132308 -34.5985976660142))",48Q3CJ28+HWM3
-34.60298449,-58.3853994,172.708,0.7224,"POLYGON((-58.3853282073431 -34.6030443637087, -58.3853342874499 -34.6029200592894, -58.3854705850991 -34.6029246172984, -58.3854645051978 -34.6030489217195, -58.3853282073431 -34.6030443637087))",48Q39JW7+RR5J
-34.61191732,-58.38209713,25.9834,0.6879,"POLYGON((-58.3820588739952 -34.6119328282067, -58.3820610504492 -34.611898569209, -58.3821353771186 -34.6119017968972, -58.3821332006951 -34.6119360558955, -58.3820588739952 -34.6119328282067))",48Q39JQ9+65J9
-34.59906407,-58.38779642,56.694,0.6972,"POLYGON((-58.3877610607885 -34.5991061045356, -58.3877686445913 -34.5990183085163, -58.3878317700028 -34.5990220369406, -58.3878241862666 -34.5991098329622, -58.3877610607885 -34.5991061045356))",48Q3CJ26+9VGG
-34.59536864,-58.38455006,117.6591,0.819,"POLYGON((-58.3844884794739 -34.595415457511, -58.3844962248232 -34.595315703186, -58.3846116337555 -34.595321830846, -58.3846038885452 -34.5954215851751, -58.3844884794739 -34.595415457511))",48Q3CJ38+V547
-34.61123,-58.38351048,267.5926,0.7421,"POLYGON((-58.3836704 -34.6112802, -58.3833619 -34.6112675, -58.3833674 -34.6111771, -58.3836312 -34.611188, -58.3836289 -34.6112249, -58.3836736 -34.6112267, -58.3836704 -34.6112802))",48Q39JQ8+GH5W
-34.59522925,-58.3896115,141.4599,0.6919,"POLYGON((-58.3895260332828 -34.5952672766304, -58.3895318755623 -34.5951833660744, -58.3896969619238 -34.5951912260655, -58.3896911198105 -34.5952751366254, -58.3895260332828 -34.5952672766304))",48Q3CJ36+W52V
-34.61108069,-58.38031327,104.4758,0.772,"POLYGON((-58.380289025654 -34.6109957457754, -58.3803503798905 -34.610998980002, -58.3803375281009 -34.6111656371195, -58.3802761737419 -34.6111624028893, -58.380289025654 -34.6109957457754))",48Q39JQ9+HV7Q
-34.60091297,-58.38681573,72.7671,0.7414,"POLYGON((-58.3868691542606 -34.6009468654772, -58.3867605579141 -34.6009448952422, -58.3867623041183 -34.6008790881801, -58.3868709003789 -34.6008810584158, -58.3868691542606 -34.6009468654772))",48Q39JX7+J7MH
-34.60468779,-58.38054156,97.1609,0.7295,"POLYGON((-58.380510226724 -34.6046175667883, -58.3805791595705 -34.6046197011488, -58.3805728959759 -34.604758006095, -58.380503963015 -34.604755871734, -58.380510226724 -34.6046175667883))",48Q39JW9+4QGG
-34.59971468,-58.38578266,425.9651,0.7064,"POLYGON((-58.3856716784747 -34.5998340570556, -58.3856812598449 -34.5996127886572, -58.3859273780043 -34.5996200755314, -58.3859225739026 -34.5997310272235, -58.3858217244006 -34.5997280414139, -58.3858228849181 -34.5997012398044, -58.3857742315947 -34.5996997993148, -58.3857711041417 -34.5997720253868, -58.3858502831065 -34.5997743696435, -58.3858474732744 -34.5998392618905, -58.3856716784747 -34.5998340570556))",48Q3CJ27+4M8H
-34.59494738,-58.3880675,26.118,0.7463,"POLYGON((-58.3880415570549 -34.5949720179096, -58.3880407473525 -34.5949233476458, -58.3880934610609 -34.5949227479273, -58.3880942707942 -34.59497141819, -58.3880415570549 -34.5949720179096))",48Q3CJ46+2QF5
-34.60528765,-58.38330296,37.1397,0.6804,"POLYGON((-58.3832702011058 -34.6053156053232, -58.3832724186408 -34.6052580148904, -58.3833357229002 -34.6052596813468, -58.3833335054088 -34.6053172717798, -58.3832702011058 -34.6053156053232))",48Q39JV8+VMPF
-34.6102459,-58.38604473,145.7386,0.7443,"POLYGON((-58.3859865478892 -34.6103096626618, -58.3859779796437 -34.6101944006734, -58.3861106033007 -34.610187661231, -58.3861167299129 -34.6102700760913, -58.3860857079912 -34.6102716525246, -58.3860881497945 -34.6103044996397, -58.3859865478892 -34.6103096626618))",48Q39JQ7+WH44
-34.60125804,-58.37267307,204.5218,0.7884,"POLYGON((-58.3725987637764 -34.6013269955641, -58.3726087212583 -34.6011825405854, -58.3727473845598 -34.6011890758182, -58.3727374273184 -34.6013335308024, -58.3725987637764 -34.6013269955641))",48Q39JXG+FWWM
-34.59778463,-58.37369026,112.7746,0.7163,"POLYGON((-58.3736288253673 -34.5978294123598, -58.3736391678727 -34.5977316930291, -58.3737516961835 -34.5977398368575, -58.3737413538093 -34.5978375561945, -58.3736288253673 -34.5978294123598))",48Q3CJ2G+VGMQ
-34.61205449,-58.3854281,78.6148,0.7674,"POLYGON((-58.385371594856 -34.6120877730497, -58.3853754619031 -34.6120171281758, -58.3854845945566 -34.6120212115765, -58.3854807276026 -34.6120918564517, -58.385371594856 -34.6120877730497))",48Q39JQ7+5RGV
-34.60623356,-58.37552328,235.3249,0.6661,"POLYGON((-58.3756387581824 -34.6062863876144, -58.3753583962439 -34.6062733950417, -58.3753614986044 -34.6062276293394, -58.3754760335011 -34.606232937212, -58.3754809632255 -34.6061602128715, -58.3755786540384 -34.6061647400581, -58.3755768241911 -34.6061917348356, -58.3756449601434 -34.6061948923436, -58.3756387581824 -34.6062863876144))",48Q39JVF+GQ5M
-34.60099348,-58.38787308,478.83,0.71,"POLYGON((-58.3877682267203 -34.6010869717407, -58.3877690279104 -34.6010656138939, -58.3877344525059 -34.6010647270699, -58.3877397899935 -34.6009224436105, -58.3878442841101 -34.6009251237512, -58.3878457970952 -34.6008847901273, -58.3879960208058 -34.6008886430194, -58.38798836971 -34.6010926179515, -58.3877682267203 -34.6010869717407))",48Q39JX6+JV26
-34.60091228,-58.37742436,28.1129,0.7139,"POLYGON((-58.3774026669618 -34.6009467032421, -58.3774069686091 -34.6008762201751, -58.3774460596278 -34.6008778514106, -58.3774417580152 -34.6009483344783, -58.3774026669618 -34.6009467032421))",48Q39JXF+J2PF
-34.60237369,-58.38822212,83.2347,0.7948,"POLYGON((-58.3881612819785 -34.6024060123553, -58.3881653565008 -34.6023366337879, -58.3882829613 -34.6023413560177, -58.3882788868756 -34.6024107345866, -58.3881612819785 -34.6024060123553))",48Q39JX6+3P25
-34.61197825,-58.38492555,410.6886,0.8496,"POLYGON((-58.3848401 -34.6121025, -58.3848521 -34.6118489, -58.385011 -34.611854, -58.384999 -34.6121076, -58.3848401 -34.6121025))",48Q39JQ8+624V
